% Ny a b nu datacount wallunits? ustar
% 97 -1 1 3.3333333333333335e-05 1 0 0.039825972784609691
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
7.8218332196420602e-31 2.6448367476027783e-33 -7.8995719747162282e-32 1.0022064061766249e-31 -3.8308937990838549e-33 2.4348303373206418e-31 -8.1532003370909933e-16 -9.2634233617161499e-16 1.1102230246251565e-16
0.00014878247457255202 3.2487379612890653e-07 -1.2265820941275763e-05 5.0877670986612082e-09 -2.5255190610332637e-09 4.5367066373925698e-05 0.026156594048858804 0.02508605566762525 0.0010705383812335545
0.0023562776087190773 2.1259411990544288e-05 -0.00020421712533683612 9.639904252190261e-07 -2.0031597117168728e-07 0.00053076466153954643 0.10400859015672828 0.099731020841494683 0.0042775693152335981
0.0089043561980427441 0.00018988530167754112 -0.00095604963803201637 1.5884139528271135e-05 -2.3037627202860118e-06 0.0016963560627957317 0.21908215180917978 0.20947479200599134 0.0096073598031884422
0.012532403556123631 0.00049853387151983786 -0.0020090255193884795 9.2823434098522322e-05 -9.0221828729556441e-06 0.0027058330923786177 0.32018602735099255 0.30314894048700819 0.017037086863984363
0.01039683971212485 0.00065278129342342256 -0.0024901408304629333 0.00025856138091947525 -1.2665189196225081e-05 0.0028869021482839409 0.38013030635695477 0.35359537109124023 0.026534935265714543
0.0082153906379869024 0.00069933567805344958 -0.0024940371401065689 0.00046752216494148164 -7.6721352812284738e-06 0.0026765705667917946 0.41452607633779243 0.37646584257440568 0.038060233763386742
0.006787491771389903 0.00071076996645304215 -0.0028476950526532254 0.00065353721196360979 -1.4020182576351927e-06 0.0023949551799783485 0.43576461349711743 0.38420098423767968 0.051563629259437749
0.0059854840214136618 0.00071119778758165473 -0.0037334422276209468 0.00077507772948310814 -1.5673787576009089e-05 0.0022426855822441538 0.45424652159766482 0.38725922345639052 0.066987298141274298
0.0055695072808361057 0.00074668979148742652 -0.0042657326291082312 0.00082870608161103566 -2.5338610949553528e-05 0.0021432578585834929 0.46919105724564819 0.38492586335478823 0.084265193890859957
0.0050615193137393544 0.00074563935950466083 -0.004433295101347076 0.00084713981198346268 -4.855335796125724e-06 0.0020368342148138477 0.48373508005790078 0.38041175015185663 0.10332332990604415
0.0051151674333338726 0.00074041980667342573 -0.0044047904394154879 0.00082739804543159449 -3.091346186298361e-06 0.0018322917243584903 0.49752970027851096 0.37344960395595966 0.12408009632255129
0.0049459001700178917 0.00070508567951567489 -0.0048873278010277098 0.00079167697751210062 -3.7746981988386155e-05 0.0017496012822625273 0.51091096984932327 0.36446436036937391 0.14644660947994942
0.0049220080773031416 0.0007529121624975895 -0.0049696960439346632 0.00076762698929624257 -1.3378113362967389e-05 0.001712900604342624 0.52372709337978862 0.35340000084465939 0.17032709253512918
0.0048502486977464176 0.00070218442788504989 -0.0048330360390191427 0.00074380848329854885 -4.0888003993328121e-05 0.0016831503469331541 0.53665243377437311 0.34103314818092384 0.19561928559344927
0.0048440390573069592 0.00070298552637885114 -0.0053097235242762619 0.00070490163163201196 -1.4029234860430153e-05 0.0016606084811712129 0.55037016318950838 0.32815527958820206 0.22221488360130637
0.0050314409486191813 0.000675915678031697 -0.0051420904945119758 0.00069694723229998215 -1.6850015324930367e-05 0.0016094323509878356 0.56346465402034673 0.31346465389534667 0.25000000012500012
0.0051277196990249796 0.00070264374011674304 -0.0053212225979437826 0.00066612387043532312 -8.1387899653527374e-06 0.0015223759312214655 0.57521607518986229 0.29636042015993508 0.27885565502992726
0.0051748799657987399 0.00068928166552012428 -0.0048650820997992554 0.00064201644312866725 -4.1351962303224891e-06 0.0014492578814891811 0.58807502705286541 0.27941674308108111 0.3086582839717843
0.0054304607472260291 0.00067842206905875029 -0.0046835408832157305 0.00057605482931982765 -2.6640093475272581e-06 0.0013759923900071799 0.5993395019901393 0.26005923447208001 0.33928026751805929
0.005280678184353349 0.0006192828470753018 -0.0046535353167279341 0.00057609159366107346 -2.3762162580590636e-05 0.0012995244831035197 0.61363116311201971 0.24304068547798477 0.37059047763403491
0.0052941389967202102 0.00063902920502812962 -0.0043969556302873424 0.00053917018324688777 -9.1869787120164665e-06 0.0012779875558643213 0.622688381906081 0.22023354271291773 0.40245483919316327
0.0052650531804942502 0.00060854809572159828 -0.0041210730937268712 0.00054083812643370257 -7.8235272824050903e-07 0.0011654901561540195 0.63442247951701214 0.19968557540966944 0.43473690410734267
0.0052599744783637381 0.00060088166929986862 -0.0032942602372129661 0.0005284039281572147 2.8280956880319986e-05 0.0010536532882383521 0.64405104375414446 0.1767526081355667 0.46729843561857776
0.0051869065891473887 0.00059215636122525071 -0.0026721349487555204 0.00050811758527882203 1.3055702819177293e-05 0.0010027801173050895 0.65491700067850389 0.1549170004285039 0.50000000025000002
0.0051729042962078697 0.00057595297595059412 -0.0013942209468674562 0.00049806750653780014 1.297595300007723e-05 0.00099188067847441001 0.6617863036622964 0.12908473878087412 0.53270156488142228
0.0051418293974845874 0.000553814246990447 -0.0007176064583720818 0.0004847298198805056 1.4074086324617098e-05 0.00092987014818507051 0.67177967397782368 0.10651657758516626 0.56526309639265737
0.0050316656678704441 0.00057403418143491946 0.00051925617036211878 0.00048884477557331336 1.2290213281774863e-05 0.00090986460790143115 0.67650095570844537 0.078955794401608589 0.59754516130683677
0.0049455864685861717 0.00056456202435363847 0.00077589494460217942 0.00047933724049650859 1.6306560860872776e-05 0.00087600184401368073 0.68566801596543014 0.056258493099465103 0.62940952286596508
