% Ny a b nu datacount wallunits? ustar
% 97 -1 1 3.3333333333333335e-05 1 0 0.033516926749001662
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
7.4236217252734719e-31 -1.2592436787381573e-32 -4.660741164777236e-33 8.4490418690947972e-32 1.1055066575274985e-32 9.4448823452356221e-32 5.0306980803327406e-17 -6.0715321659188248e-17 1.1102230246251565e-16
6.8865498567747673e-05 1.4483884225009828e-07 -7.4309187159240193e-08 3.0069061309286664e-09 3.3547116086384241e-09 2.8106150685955923e-05 0.017990126314601701 0.016919587933368146 0.0010705383812335545
0.0010897220592768486 9.9764396954165111e-06 -4.0423545518794158e-07 6.0105113812390943e-07 1.5887800092015307e-07 0.00035112047373563705 0.071743603077694978 0.06746603376246138 0.0042775693152335981
0.0049857218760715957 0.00010910878113593285 5.5179374203733204e-06 1.0508669265900205e-05 4.3446374463839308e-07 0.0011934206702795107 0.15766868017586913 0.14806132037268069 0.0096073598031884422
0.010233496693343391 0.00041327372699770799 0.0001413180937095388 6.4284065769995349e-05 -4.9059981940445632e-07 0.002208607127287314 0.25512027374868484 0.23808318688470051 0.017037086863984363
0.011386914229454898 0.00073885807268946849 0.00071415587878463779 0.00021514072503074112 2.3170940759203716e-06 0.0028704836802980562 0.33173092385415975 0.30519598858844521 0.026534935265714543
0.0095469343018699804 0.00091527121986007172 0.0012729815245856126 0.00047259897203703069 8.2165658144687143e-06 0.0030377917654751388 0.38140821592373308 0.34334798216034634 0.038060233763386742
0.0077859743713108442 0.00098634152734300711 0.0013149006510616268 0.00075986299563558346 7.4495162662593911e-06 0.0029478500801072244 0.41348673893151222 0.36192310967207447 0.051563629259437749
0.0069772328554403851 0.0010178608025377515 0.0012501425266820756 0.0010077061644976255 8.9237260566287977e-06 0.0028301460105296119 0.4363379094378953 0.369350611296621 0.066987298141274298
0.0062791096903585808 0.0010043501710937368 0.0010554388739410375 0.0011761434027567725 9.3802289818714719e-06 0.0026554067049946316 0.45337406166964722 0.36910886777878726 0.084265193890859957
0.0056128649634276107 0.00099584188811207772 0.0012607192348292671 0.0012733798956140003 1.1372021274005468e-05 0.0024994409460594512 0.46820161911525832 0.36487828920921417 0.10332332990604415
0.0051381213468975617 0.00097784333945770798 0.0011500429387107487 0.00130919327232336 2.5750366144046759e-05 0.0023707836074059519 0.48136834842154652 0.35728825209899523 0.12408009632255129
0.0049200129243278101 0.00097524035499420379 0.000759917715497157 0.0012963883222738284 4.0620150774118824e-05 0.0022092992213932142 0.49388638138663288 0.34743977190668346 0.14644660947994942
0.0046781177332362867 0.00091860122856402351 0.00033153191534897233 0.0012584716603864787 5.2327273205408223e-05 0.002028206118239108 0.50634694715939854 0.33601985462426937 0.17032709253512918
0.0045622266779958287 0.00092657137714446556 0.00031905145500328027 0.0011998059629555315 4.3460504255809011e-05 0.001846379060785218 0.51709213487329886 0.32147284927984954 0.19561928559344927
0.0044834407208764748 0.00090093557472262578 0.00023677269738394926 0.0011265343738581914 2.7212419891492361e-05 0.0017305463062642782 0.52865647097980872 0.30644158737850236 0.22221488360130637
0.0044793252518649518 0.00087485530757594541 -0.00018002182456427961 0.0010747642956107581 4.5491527748155502e-05 0.0016632933878729021 0.54069215012181338 0.2906921499968132 0.25000000012500012
0.0042650932249737594 0.00085049270718273284 -0.00036768729606888713 0.0010154008870440288 3.6432005427179444e-05 0.0016075526349588532 0.55257178304008181 0.2737161280101546 0.27885565502992726
0.004187695809672265 0.00083391000208054688 -0.00088529668650827811 0.0009817159729658229 3.6739710226414615e-05 0.0015101983191863184 0.56337026719519101 0.25471198322340677 0.3086582839717843
0.0042293250076962385 0.00082661011106307223 -0.001128143674964611 0.00094180289433406898 1.9920096319859148e-05 0.0014296016184308401 0.57444718897460789 0.23516692145654855 0.33928026751805929
0.0040567184276249502 0.00080995586392237657 -0.0010568867160376798 0.00090246229820113493 3.2579190237660708e-05 0.0014028701660717289 0.58512876475370446 0.21453828711966949 0.37059047763403491
0.0041092489110847175 0.00081325007966506844 -0.001359229981845448 0.00084867670431328492 2.6189031973221372e-05 0.0013494742730874231 0.59538267604780981 0.19292783685464654 0.40245483919316327
0.0040148847361085593 0.00078990928343269961 -0.0012766996662423836 0.00079853622484178763 1.9001891685800978e-05 0.0013300317135624712 0.60541215492194966 0.17067525081460699 0.43473690410734267
0.0039427226627259948 0.00074115053599262029 -0.0012634589131773814 0.0007627585565100493 1.073162930082882e-05 0.0012267193160979233 0.61750042490706758 0.1502019892884898 0.46729843561857776
0.0038043659919453909 0.00073367481297364394 -0.0016812851620504211 0.00072698155710796905 9.6176509501133089e-06 0.0011946420435249856 0.6268705431306314 0.1268705428806314 0.50000000025000002
0.0037430589434783168 0.00071730825340182843 -0.001475433622211254 0.00069078605429941326 7.5966420508026197e-06 0.0010951577383714382 0.63784076078225238 0.10513919590083007 0.53270156488142228
0.0035629039759186854 0.00066555059709282505 -0.001517452729223 0.0006567766965241157 5.1839414709511072e-07 0.0010046515647796511 0.64735738265749454 0.08209428626483721 0.56526309639265737
0.003443887127873857 0.0006433194872061083 -0.0012290789446468035 0.00060698050101830531 2.2215308807373739e-05 0.00097099523301872573 0.65741801109434705 0.059872849787510257 0.59754516130683677
0.0032771459026057492 0.00062166042869989883 -0.0016945261500714449 0.00057003204201252632 6.1162720547317211e-06 0.00087558013051564998 0.66574672839460991 0.036337205528644848 0.62940952286596508
0.0031248477168583366 0.0006045904290602447 -0.0016539284933340126 0.00053218690895116296 8.4929482839473728e-06 0.00078028294233184622 0.67499527002519433 0.014275537043253551 0.66071973298194075
0.0030103194892687202 0.0005769960395921428 -0.0021205499224464471 0.00049632458479377626 -1.3690772751161846e-05 0.00075465792277304184 0.68301199710996563 -0.008329719418250104 0.69134171652821574
0.0028528021005658766 0.00053237201612037579 -0.0022488151427277098 0.00047422157705549094 -2.7795865668517752e-05 0.00073438452407637077 0.69120578947872491 -0.029938555991347891 0.72114434547007278
0.0027128876302537908 0.00051023103397172624 -0.003151465272119615 0.00044790238775104354 -1.3022224006057761e-05 0.00071507676969860133 0.6981309140137183 -0.051869086361281673 0.75000000037499992
0.0025122566051542505 0.00047063343768617163 -0.0034805069234916663 0.00042459694465050497 -1.7642887388967048e-05 0.00067469863960898692 0.70528820582005824 -0.072496911078635429 0.77778511689869367
0.0023633039561492541 0.0004514805091381034 -0.0041648652209253277 0.00041377006772138735 -2.2604417937156843e-05 0.00063825861251932926 0.71165877354269524 -0.092721941363855476 0.80438071490655072
0.0021805530007537044 0.00042591616858413865 -0.0044980958453855018 0.00040088198816316356 -1.6702781352695487e-05 0.00065994671040220095 0.71868777935542816 -0.11098512860944265 0.82967290796487081
0.0019710352048283308 0.00040081534937502821 -0.0046536770390725969 0.00039238194711681474 -1.8077741311858588e-05 0.00060583274028866527 0.72382350632241688 -0.12972988469763366 0.85355339102005057
